"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP2262",100,100,100,42,15,63,227960.462258197,45324.9772384245,9444.00636246428,2,1
"CP2263",100,100,100,391,371,411,222532.5168157,55846.4894783942,9832.03334501013,1,1
"CP2264",100,100,100,500,478,523,20410118.7581921,20169585.707072,1e+06,367,1
"CP2265",100,100,100,916,896,936,222532.5168157,55846.4894783942,9832.03334501013,1,1
"CP2266",100,100,100,296,271,297,132330.037886277,31898.5468488135,9866.33634893224,2,1
"CP2267",100,100,100,821,796,822,132330.037886277,31898.5468488135,9866.33634893224,2,1
"CP2269",100.001,100.001,100.001,108,107,139,150376.460645348,33946.5093592262,9795.00338900834,2,1
"CP2271",100.001,100.001,100.001,633,632,664,150376.460645348,33946.5093592262,9795.00338900834,2,1
"CP2268",100.001,100.001,100.001,500,478,523,20408271.1983094,20170815.2186392,1000553.19590785,369,1
"CP2270",100.001,100.001,100.001,289,288,310,119882.991844788,33438.9941746449,9922.69731592387,2,1
"CP2272",100.001,100.001,100.001,814,813,835,119882.991844788,33438.9941746449,9922.69731592387,2,1
"CP2274",100.002,100.002,100.002,379,361,402,254276.629078668,57808.5231202861,9967.61413989589,2,1
"CP2275",100.002,100.002,100.002,501,478,523,20436323.6469369,20182416.2744115,1003888.45022505,373,1
"CP2276",100.002,100.002,100.002,904,886,927,254276.629078668,57808.5231202861,9967.61413989589,2,1
"CP2277",100.002,100.002,100.002,192,175,209,177457.452968229,42389.7567441428,9988.99357626215,2,1
"CP2278",100.002,100.002,100.002,717,700,734,177457.452968229,42389.7567441428,9988.99357626215,2,1
"CP2279",100.002,100.002,100.002,575,574,598,135398.979787715,31165.1894489614,9750.10253721848,2,1
"CP2273",100.002,100.002,100.002,47,27,72,255118.59045364,59798.8399942095,9965.49320640042,2,1
"CP2280",100.003,100.003,100.003,160,122,141,111599.458199926,29355.9791005061,9877.72550201043,2,1
"CP2281",100.003,100.003,100.003,318,314,341,154959.889461752,39846.2652417366,9836.83876693249,2,1
"CP2282",100.003,100.003,100.003,500,478,523,20434292.0905082,20190267.9593105,1001288.23115936,363,1
"CP2283",100.003,100.003,100.003,685,647,666,111599.458199926,29355.9791005061,9877.72550201043,2,1
"CP2284",100.003,100.003,100.003,843,839,866,154959.889461752,39846.2652417366,9836.83876693249,2,1
